group,category,publisher,year,type,is_llm_related,title,link,authors,code
Tutoring and Personalized Learning,Tutoring System,CHI,2023,conference,0,OATutor: An Open-source Adaptive Tutoring System and Curated Content Library for Learning Sciences Research,https://dl.acm.org/doi/10.1145/3544548.3581574,"Z. Pardos, Matthew Tang, Ioannis Anastasopoulos, Shreya K. Sheel, Ethan Zhang",
Tutoring and Personalized Learning,Tutoring System,CHI-LBW,2024,workshop,1,Empowering Personalized Learning through a Conversation-based Tutoring System with Student Modeling,https://arxiv.org/abs/2403.14071,"Minju Park, Sojung Kim, Seunghyun Lee, Soonwoo Kwon, Kyuseok Kim",
Tutoring and Personalized Learning,Tutoring System,ICALT,2024,conference,0,"An Educational Tool for Learning about Social Media Tracking, Profiling, and Recommendation",https://arxiv.org/abs/2402.01813,"Nicolas Pope, Juho Kahila, Jari Laru, Henriikka Vartiainen, Teemu Roos, Matti Tedre",
Tutoring and Personalized Learning,Tutoring System,International Conference on Intelligent Tutoring Systems,2006,conference,0,The Cognitive Tutor Authoring Tools (CTAT): Preliminary Evaluation of Efficiency Gains,https://figshare.com/articles/journal_contribution/The_Cognitive_Tutor_Authoring_Tools_CTAT_Preliminary_Evaluation_of_Efficiency_Gains/6470495/1/files/11899052.pdf,"V. Aleven, B. McLaren, J. Sewall, K. Koedinger",
Tutoring and Personalized Learning,Tutoring System,Learning@Scale,2024,conference,1,AutoTutor meets Large Language Models: A Language Model Tutor with Rich Pedagogy and Guardrails,https://arxiv.org/abs/2402.09216,"Sankalan Pal Chowdhury, Vilém Zouhar, Mrinmaya Sachan",
Tutoring and Personalized Learning,Tutoring System,NeurIPS,2024,conference,1,SocraticLM: Exploring Socratic Personalized Teaching with Large Language Models,https://neurips.cc/virtual/2024/poster/93477,"Jiayu Liu, Zhenya Huang, Tong Xiao, Jing Sha, Jinze Wu, Qi Liu, Shijin Wang, Enhong Chen",
Tutoring and Personalized Learning,Tutoring System,NeurIPS - Workshop on Generative AI for Education (GAIED),2023,workshop,1,AI-TA: Towards an Intelligent Question-Answer Teaching Assistant using Open-Source LLMs,https://arxiv.org/abs/2311.02775,"Yann Hicke, Anmol Agarwal, Qianou Ma, Paul Denny",
Tutoring and Personalized Learning,Tutoring System,WWW Companion,2022,workshop,0,Personal Knowledge Graphs: Use Cases in e-learning Platforms,https://arxiv.org/abs/2203.08507,Eleni Ilkou,
Tutoring and Personalized Learning,Tutoring System,WWW,2025,conference,1,LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,https://arxiv.org/abs/2501.15749,"Tianfu Wang, Yi Zhan, Jianxun Lian, Zhengyu Hu, Nicholas Jing Yuan, Qi Zhang, Xing Xie, Hui Xiong",
Tutoring and Personalized Learning,Tutoring System,arXiv,2023,preprint,1,Empowering Private Tutoring by Chaining Large Language Models,https://arxiv.org/abs/2309.08112,"Yulin Chen, Ning Ding, Hai-Tao Zheng, Zhiyuan Liu, Maosong Sun, Bowen Zhou",
Tutoring and Personalized Learning,Tutoring System,arXiv,2023,preprint,1,How to Build an AI Tutor that Can Adapt to Any Course and Provide Accurate Answers Using Large Language Model and Retrieval-Augmented Generation,https://arxiv.org/abs/2311.17696,Chenxi Dong,
Tutoring and Personalized Learning,Tutoring System,arXiv,2024,preprint,1,Personality-aware Student Simulation for Conversational Intelligent Tutoring Systems,https://arxiv.org/abs/2404.06762,"Zhengyuan Liu, Stella Xin Yin, Geyu Lin, Nancy F. Chen",
Tutoring and Personalized Learning,Tutoring System,arXiv,2024,preprint,1,Intelligent Tutor: Leveraging ChatGPT and Microsoft Copilot Studio to Deliver a Generative AI Student Support and Feedback System within Teams,https://arxiv.org/abs/2404.06762,Wei-Yu Chen,
Tutoring and Personalized Learning,Tutoring System,arXiv,2024,preprint,1,Scaffolding Language Learning via Multi-modal Tutoring Systems with Pedagogical Instructions,https://arxiv.org/abs/2404.03429,"Zhengyuan Liu, Stella Xin Yin, Carolyn Lee, Nancy F. Chen",
Tutoring and Personalized Learning,Tutoring System,arXiv,2024,preprint,1,Apprentice Tutor Builder: A Platform For Users to Create and Personalize Intelligent Tutors,https://arxiv.org/abs/2404.07883,"Glen Smith, Adit Gupta, Christopher MacLellan",
Tutoring and Personalized Learning,Tutoring System,arXiv,2025,preprint,1,Generative AI in Education: From Foundational Insights to the Socratic Playground for Learning,https://arxiv.org/abs/2501.06682,"Xiangen Hu, Sheng Xu, Richard Tong, Art Graesser",
Tutoring and Personalized Learning,Learning Path Recommendation,AAAI,2022,conference,0,Constraint Sampling Reinforcement Learning: Incorporating Expertise For Faster Learning,https://arxiv.org/abs/2112.15221,"Tong Mu, Georgios Theocharous, David Arbour, Emma Brunskill",
Tutoring and Personalized Learning,Learning Path Recommendation,AAAI,2023,conference,0,Set-to-Sequence Ranking-based Concept-aware Learning Path Recommendation,https://arxiv.org/abs/2306.04234,"Xianyu Chen, Jian Shen, Wei Xia, Jiarui Jin, Yakun Song, Weinan Zhang, Weiwen Liu, Menghui Zhu, Ruiming Tang, Kai Dong, Dingyin Xia, Yong Yu",
Tutoring and Personalized Learning,Learning Path Recommendation,AIED,2022,conference,0,CurriculumTutor: An Adaptive Algorithm for Mastering a Curriculum,https://dl.acm.org/doi/10.1007/978-3-031-11644-5_26,"Shabana K M, Chandrashekar Lakshminarayanan",
Tutoring and Personalized Learning,Learning Path Recommendation,CHI,2020,conference,0,Reinforcement Learning for the Adaptive Scheduling of Educational Activities,https://dl.acm.org/doi/10.1145/3313831.3376518,"A. Singla, Anna N. Rafferty, Goran Radanovic, N. Heffernan",
Tutoring and Personalized Learning,Learning Path Recommendation,CIKM,2023,conference,0,Graph Enhanced Hierarchical Reinforcement Learning for Goal-oriented Learning Path Recommendation,https://dl.acm.org/doi/abs/10.1145/3583780.3614897,"Qingyao Li, Wei Xia, Li'ang Yin, Jian Shen, Renting Rui, Weinan Zhang, Xianyu Chen, Ruiming Tang, Yong Yu",
Tutoring and Personalized Learning,Learning Path Recommendation,KDD,2019,conference,0,Exploiting Cognitive Structure for Adaptive Learning,https://arxiv.org/abs/1905.12470,"Qi Liu, Shiwei Tong, Chuanren Liu, Hongke Zhao, Enhong Chen, Haiping Ma, Shijin Wang",
Tutoring and Personalized Learning,Learning Path Recommendation,KDD,2024,conference,0,Item-Difficulty-Aware Learning Path Recommendation: From a Real Walking Perspective,https://dl.acm.org/doi/10.1145/3637528.3671947,"Haotian Zhang, Shuanghong Shen, Bihan Xu, Zhenya Huang, Jinze Wu, Jing Sha, Shijin Wang",
Tutoring and Personalized Learning,Learning Path Recommendation,KDD,2024,conference,0,Privileged Knowledge State Distillation for Reinforcement Learning-based Educational Path Recommendation,https://dl.acm.org/doi/10.1145/3637528.3671872,"Qingyao Li, Wei Xia, Li'ang Yin, Jiarui Jin, Yong Yu",
Tutoring and Personalized Learning,Learning Path Recommendation,Learning@Scale,2018,conference,0,Combining Adaptivity with Progression Ordering for Intelligent Tutoring Systems,https://dl.acm.org/doi/10.1145/3231644.3231672,"Tong Mu, Shuhan Wang, Erik Andersen, Emma Brunskill",
Tutoring and Personalized Learning,Learning Path Recommendation,Learning@Scale,2018,conference,0,The Effects of Adaptive Learning in a Massive Open Online Course on Learners' Skill Development,https://scholar.harvard.edu/files/dtingley/files/adaptivelas2018.pdf,"Y. Rosen, I. Rushkin, Rob Rubin, Liberty Munson, Andrew M. Ang, G. Weber, Glenn Lopez, D. Tingley",
Tutoring and Personalized Learning,Learning Path Recommendation,Learning@Scale,2022,conference,0,Automatic Interpretable Personalized Learning,https://dl.acm.org/doi/abs/10.1145/3491140.3528267,"Ethan Prihar, Aaron Haim, Adam Sales, Neil Heffernan",
Tutoring and Personalized Learning,Learning Path Recommendation,NeurIPS - Workshop on Teaching Machines Humans and Robots,2017,workshop,0,Program2Tutor: Combining Automatic Curriculum Generation with Multi-Armed Bandits for Intelligent Tutoring Systems,http://www.teaching-machines.cc/nips2017/papers/nips17-teaching_paper-12.pdf,"Tong Mu, Karan Goel",
Tutoring and Personalized Learning,Learning Path Recommendation,SIGIR,2024,conference,0,Course Recommender Systems Need to Consider the Job Market,https://arxiv.org/abs/2404.10876,"Jibril Frej, Anna Dai, Syrielle Montariol, Antoine Bosselut, Tanja Käser",
Tutoring and Personalized Learning,Learning Path Recommendation,TSC,2023,journal,0,MHRR: MOOCs Recommender Service With Meta Hierarchical Reinforced Ranking,https://ieeexplore.ieee.org/document/10286866,"Yuchen Li, Haoyi Xiong, Linghe Kong, Rui Zhang, Fanqin Xu, Guihai Chen, Minglu Li",
Tutoring and Personalized Learning,Learning Path Recommendation,arXiv,2020,preprint,0,Deep Reinforcement Learning for Adaptive Learning Systems,https://arxiv.org/abs/2004.08410,"Xiao Li, Hanchen Xu, Jinming Zhang, Hua-hua Chang",
Tutoring and Personalized Learning,Learning Path Recommendation,arXiv,2024,preprint,1,Learning Structure and Knowledge Aware Representation with Large Language Models for Concept Recommendation,https://arxiv.org/abs/2405.12442,"Qingyao Li, Wei Xia, Kounianhua Du, Qiji Zhang, Weinan Zhang, Ruiming Tang, Yong Yu",
Tutoring and Personalized Learning,Learning Path Recommendation,WWW,2021,conference,0,ConceptGuide: Supporting Online Video Learning with Concept Map-based Recommendation of Learning Path,https://dl.acm.org/doi/10.1145/3442381.3449808,"Chien-Lin Tang, Jingxian Liao, Hao-Chuan Wang, Ching-Ying Sung, Wen-Chieh Lin",
Tutoring and Personalized Learning,Learning Path Recommendation,WWW Companion,2018,workshop,0,Ontology-based Recommender System in Higher Education,https://dl.acm.org/doi/10.1145/3184558.3191533,"Charbel Obeid, Inaya Lahoud, Hicham El Khoury,  Pierre-Antoine Champin",
Tutoring and Personalized Learning,Learning Path Recommendation,WWW,2024,conference,0,Modeling Balanced Explicit and Implicit Relations with Contrastive Learning for Knowledge Concept Recommendation in MOOCs,https://arxiv.org/abs/2402.08256,"Hengnian Gu, Zhiyi Duan, Pan Xie, Dongdai Zhou",
Tutoring and Personalized Learning,Learning Path Recommendation,IEEE International Conference on Computer and Communications (ICCC),2019,conference,0,Learning Path Recommendation Based on Knowledge Tracing Model and Reinforcement Learning,https://ieeexplore.ieee.org/document/9064104,"Dejun Cai, Yuan Zhang, Bintao Dai",
Tutoring and Personalized Learning,Learning Path Recommendation,Knowledge-Based Systems (KBS),2024,journal,0,Doubly constrained offline reinforcement learning for learning path recommendation,https://www.sciencedirect.com/science/article/abs/pii/S0950705123009917,"Yue Yun, Huan Dai, Rui An, Yupei Zhang, Xuequn Shang",
Tutoring and Personalized Learning,Student Simulation & Profiling,KDD,2024,conference,0,AdaRD: An Adaptive Response Denoising Framework for Robust Learner Modeling,https://dl.acm.org/doi/10.1145/3637528.3671684,"Fangzhou Yao, Qi Liu, Linan Yue, Weibo Gao, Jiatong Li, Xin Li, Yuanjing He",
Tutoring and Personalized Learning,Student Simulation & Profiling,WWW Companion,2017,workshop,0,Predicting Student Performance using Advanced Learning Analytics,https://arxiv.org/abs/2203.08507,"Ali Daud, Naif Radi Aljohani, Rabeeh Ayaz Abbasi, Miltiadis D. Lytras, Farhat Abbas, Jalal S. Alowibdi",
Tutoring and Personalized Learning,Student Simulation & Profiling,AIED,2023,conference,0,Visualizing Self-Regulated Learner Profiles in Dashboards: Design Insights from Teachers,https://arxiv.org/abs/2305.16851,"Paola Mejia-Domenzain, Eva Laini, Seyed Parsa Neshaei, Thiemo Wambsganss, Tanja Käser",
Tutoring and Personalized Learning,Student Simulation & Profiling,AIED - Workshop on Empowering Education with LLMs - the Next-Gen Interface and Content Generation,2023,workshop,1,Contextualizing Problems to Student Interests at Scale in Intelligent Tutoring System Using Large Language Models,https://arxiv.org/abs/2306.00190,"Gautam Yadav, Ying-Jui Tseng, Xiaolin Ni",
Tutoring and Personalized Learning,Student Simulation & Profiling,CIKM,2022,conference,0,Mitigating Biases in Student Performance Prediction via Attention-Based Personalized Federated Learning,https://arxiv.org/abs/2208.01182,"Yun-Wei Chu, Seyyedali Hosseinalipour, Elizabeth Tenorio, Laura Cruz, Kerrie Douglas, Andrew Lan, Christopher Brinton",
Tutoring and Personalized Learning,Student Simulation & Profiling,arXiv,2024,preprint,0,Towards Modeling Learner Performance with Large Language Models,https://arxiv.org/abs/2403.14661,"Seyed Parsa Neshaei, Richard Lee Davis, Adam Hazimeh, Bojan Lazarevski, Pierre Dillenbourg, Tanja Käser",
Tutoring and Personalized Learning,Student Simulation & Profiling,arXiv,2024,preprint,1,"FOKE: A Personalized and Explainable Education Framework Integrating Foundation Models, Knowledge Graphs, and Prompt Engineering",https://arxiv.org/abs/2405.03734,"Silan Hu, Xiaoning Wang",
Tutoring and Personalized Learning,Student Simulation & Profiling,arXiv,2024,preprint,1,EduAgent: Generative Student Agents in Learning,https://arxiv.org/abs/2404.07963,"Songlin Xu, Xinyu Zhang, Lianhui Qin",
Tutoring and Personalized Learning,Student Simulation & Profiling,AAAI,2025,conference,1,Agent4Edu: Generating Learner Response Data by Generative Agents for Intelligent Education Systems,https://arxiv.org/abs/2501.10332,"Weibo Gao, Qi Liu, Linan Yue, Fangzhou Yao, Rui Lv, Zheng Zhang, Hao Wang, Zhenya Huang",
Tutoring and Personalized Learning,Student Simulation & Profiling,WWW,2025,conference,1,LLM-powered Multi-agent Framework for Goal-oriented Learning in Intelligent Tutoring System,https://arxiv.org/abs/2501.15749,"Tianfu Wang, Yi Zhan, Jianxun Lian, Zhengyu Hu, Nicholas Jing Yuan, Qi Zhang, Xing Xie, Hui Xiong",
Tutoring and Personalized Learning,Student Simulation & Profiling,CHI,2025,conference,1,Classroom Simulacra: Building Contextual Student Generative Agents in Online Education for Learning Behavioral Simulation,https://arxiv.org/abs/2502.02780,"Songlin Xu, Hao-Ning Wen, Hongyi Pan, Dallas Dominguez, Dong yin Hu, Xinyu Zhang",
Assessment,Adaptive Testing,AAAI,2022,conference,0,Fully Adaptive Framework: Neural Computerized Adaptive Testing for Online Education,https://ojs.aaai.org/index.php/AAAI/article/view/20399,"Yan Zhuang, Qi Liu, Zhenya Huang, Zhi Li, Shuanghong Shen, Haiping Ma",
Assessment,Adaptive Testing,CIKM,2023,conference,0,Search-Efficient Computerized Adaptive Testing,http://home.ustc.edu.cn/~zykb/files/paper/Yuting_cikm23.pdf,"Yuting Hong, Shiwei Tong, Wei Huang, Yan Zhuang, Qi Liu, Enhong Chen, Xin Li, Yuanjing He",
Assessment,Adaptive Testing,IJCAI,2021,conference,0,BOBCAT: Bilevel Optimization-Based Computerized Adaptive Testing,https://arxiv.org/abs/2108.07386,"Aritra Ghosh, Andrew Lan",
Assessment,Adaptive Testing,KDD,2023,conference,0,GMOCAT: A Graph-Enhanced Multi-Objective Method for Computerized Adaptive Testing,https://arxiv.org/abs/2310.07477,"Hangyu Wang, Ting Long, Liang Yin, Weinan Zhang, Wei Xia, Qichen Hong, Dingyin Xia, Ruiming Tang, Yong Yu",
Assessment,Adaptive Testing,NeurIPS,2023,conference,0,A Bounded Ability Estimation for Computerized Adaptive Testing,https://openreview.net/forum?id=tAwjG5bM7H,"Yan Zhuang, Qi Liu, GuanHao Zhao, Zhenya Huang, Weizhe Huang, Zachary Pardos, Enhong Chen, Jinze Wu, Xin Li",
Assessment,Adaptive Testing,SIGIR,2022,conference,0,A Robust Computerized Adaptive Testing Approach in Educational Question Retrieval,http://staff.ustc.edu.cn/~cheneh/paper_pdf/2022/Yan-Zhuang-SIGIR.pdf,"Yan Zhuang, Qi Liu, Zhenya Huang, Zhi Li, Binbin Jin, Haoyang Bi, Enhong Chen, Shijin Wang",
Assessment,Cognitive Diagnosis,AAAI,2020,conference,0,Neural Cognitive Diagnosis for Intelligent Education Systems,https://arxiv.org/abs/1908.08733,"Fei Wang,Qi Liu,Enhong Chen,Zhenya Huang,Yuying Chen,Yu Yin,Zai Huang,Shijin Wang",
Assessment,Cognitive Diagnosis,AAAI,2024,conference,0,Zero-1-to-3: Domain-level Zero-shot Cognitive Diagnosis via One Batch of Early-bird Students towards Three Diagnostic Objectives,https://arxiv.org/abs/2312.13434,"Weibo Gao, Qi Liu, Hao Wang, Linan Yue, Haoyang Bi, Yin Gu, Fangzhou Yao, Zheng Zhang, Xin Li, Yuanjing He",
Assessment,Cognitive Diagnosis,AAAI,2024,conference,0,Symbolic Cognitive Diagnosis via Hybrid Optimization for Intelligent Education Systems,https://arxiv.org/abs/2401.10840,"Junhao Shen, Hong Qian, Wei Zhang, Aimin Zhou",
Assessment,Cognitive Diagnosis,IJCAI,2021,conference,0,Towards a New Generation of Cognitive Diagnosis,http://staff.ustc.edu.cn/~qiliuql/files/Publications/QiLiu-IJCAI2021.pdf,Qi Liu,
Assessment,Cognitive Diagnosis,IJCAI,2021,conference,0,Item Response Ranking for Cognitive Diagnosis,http://staff.ustc.edu.cn/~huangzhy/files/papers/ShiweiTong-IJCAI2021.pdf,"Shiwei Tong, Qi Liu, Runlong Yu, Wei Huang, Zhenya Huang, Zachary A Pardos, Weijie Jiang",
Assessment,Cognitive Diagnosis,IJCAI,2022,conference,0,Reconciling Cognitive Modeling with Knowledge Forgetting: A Continuous Time-aware Neural Network Approach,https://www.ijcai.org/proceedings/2022/302,"Haiping Ma, Jingyuan Wang, Hengshu Zhu, Xin Xia, Haifeng Zhang, Xingyi Zhang, Lei Zhang",
Assessment,Cognitive Diagnosis,KDD,2022,conference,0,HierCDF: A Bayesian Network-based Hierarchical Cognitive Diagnosis Framework,http://staff.ustc.edu.cn/~cheneh/paper_pdf/2022/Jiatong-Li-KDD.pdf,"Jiatong Li, Fei Wang, Qi Liu, Mengxiao Zhu, Wei Huang, Zhenya Huang, Enhong Chen, Yu Su, Shijin Wang",
Assessment,Cognitive Diagnosis,KDD,2024,conference,0,Path-Specific Causal Reasoning for Fairness-aware Cognitive Diagnosis,https://arxiv.org/abs/2406.03064,"Dacao Zhang, Kun Zhang, Le Wu, Mi Tian, Richang Hong, Meng Wang",
Assessment,Cognitive Diagnosis,KDD,2024,conference,0,ORCDF: An Oversmoothing-Resistant Cognitive Diagnosis Framework for Student Learning in Online Education Systems,https://arxiv.org/pdf/2407.17476,"Hong Qian, Shuo Liu, Mingjia Li, Bingdong Li, Zhi Liu, Aimin Zhou",
Assessment,Cognitive Diagnosis,KDD,2024,conference,0,Capturing Homogeneous Influence among Students: Hypergraph Cognitive Diagnosis for Intelligent Education Systems,,"Junhao Shen, Hong Qian, Shuo Liu, Wei Zhang, Bo Jiang, Aimin Zhou",
Assessment,Cognitive Diagnosis,Learning@Scale,2024,conference,1,Generative Students: Using LLM-Simulated Student Profiles to Support Question Item Evaluation,https://arxiv.org/abs/2405.11591,"Xinyi Lu, Xu Wang",
Assessment,Cognitive Diagnosis,NeurIPS,2023,conference,0,Disentangling Cognitive Diagnosis with Limited Exercise Labels,https://openreview.net/forum?id=ogPBujRhiN,"Xiangzhi Chen, Le Wu, Fei Liu, Lei Chen, Kun Zhang, Richang Hong, Meng Wang",
Assessment,Cognitive Diagnosis,SIGIR,2021,conference,0,RCD: Relation Map Driven Cognitive Diagnosis for Intelligent Education Systems,http://staff.ustc.edu.cn/~huangzhy/files/papers/WeiboGao-SIGIR2021.pdf,"Weibo Gao, Qi Liu, Zhenya Huang, Yu Yin, Haoyang Bi, Mu-Chun Wang, Jianhui Ma, Shijin Wang, Yu Su",
Assessment,Cognitive Diagnosis,SIGIR,2021,conference,0,Incremental Cognitive Diagnosis for Intelligent Education,http://staff.ustc.edu.cn/~qiliuql/files/Publications/Shiwei-Tong-KDD22.pdf,"Shiwei Tong, Jiayu Liu, Yuting Hong, Zhenya Huang, Le Wu, Qi Liu, Wei Huang, Enhong Chen, Dan Zhang",
Assessment,Cognitive Diagnosis,SIGIR,2023,conference,0,Leveraging Transferable Knowledge Concept Graph Embedding for Cold-Start Cognitive Diagnosis,https://dl.acm.org/doi/10.1145/3539618.3591774,"Weibo Gao, Hao Wang, Qi Liu, Fei Wang, Xin Lin, Linan Yue, Zheng Zhang, Rui Lv, Shijin Wang",
Assessment,Cognitive Diagnosis,TKDE,2024,journal,0,Multivariate Cognitive Response Framework for Student Performance Prediction on MOOC,https://ieeexplore.ieee.org/document/10210482,"Lianhong Wang, Xiaoyao Li, Zhihui Luo, Zinan Hu, Qing Yan",
Assessment,Cognitive Diagnosis,WWW,2024,conference,0,Inductive Cognitive Diagnosis for Fast Student Learning in Web-Based Online Intelligent Education Systems,https://arxiv.org/abs/2404.11290,"Shuo Liu, Junhao Shen, Hong Qian, Aimin Zhou",
Assessment,Cognitive Diagnosis,WWW,2024,conference,0,Towards the Identifiability and Explainability for Personalized Learner Modeling: An Inductive Paradigm,https://arxiv.org/abs/2309.00300,"Jiatong Li, Qi Liu, Fei Wang, Jiayu Liu, Zhenya Huang, Fangzhou Yao, Linbo Zhu, Yu Su",
Assessment,Cognitive Diagnosis,arXiv,2024,preprint,0,Endowing Interpretability for Neural Cognitive Diagnosis by Efficient Kolmogorov-Arnold Networks,https://arxiv.org/abs/2405.14399,"Shiwei Tong, Qi Liu, Runlong Yu, Wei Huang, Zhenya Huang, Zachary A Pardos, Weijie Jiang",
Assessment,Cognitive Diagnosis,AAAI,2019,conference,0,Proposition Entailment in Educational Applications using Deep Neural Networks,https://ojs.aaai.org/index.php/AAAI/article/view/12009,"Florin Bulgarov, Rodney Nielsen",
Assessment,Knowledge Tracing,AAAI,2022,conference,0,Interpretable Knowledge Tracing: Simple and Efficient Student Modeling with Causal Relations,https://ojs.aaai.org/index.php/AAAI/article/view/21560/21309,"Sein Minn, Jill-Jenn Vie, Koh Takeuchi, Hisashi Kashima, Feida Zhu",
Assessment,Knowledge Tracing,AAAI,2022,conference,0,No Task Left Behind: Multi-Task Learning of Knowledge Tracing and Option Tracing for Better Student Assessment,https://arxiv.org/abs/2204.14006,"Suyeong An, Junghoon Kim, Minsam Kim, Juneyoung Park",
Assessment,Knowledge Tracing,AAAI,2022,conference,0,Predictive Student Modelling in an Online Reading Platform,https://ojs.aaai.org/index.php/AAAI/article/download/21551/21300,"Effat Farhana, Teomara Rutherford, Collin Lynch",
Assessment,Knowledge Tracing,AAAI,2023,conference,0,Deep Attentive Model for Knowledge Tracing,https://ojs.aaai.org/index.php/AAAI/article/view/26214,"Xin-Peng Wang, Liang Chen, M. Zhang",
Assessment,Knowledge Tracing,AAAI,2023,conference,0,Improving Interpretability of Deep Sequential Knowledge Tracing Models with Question-centric Cognitive Representations,https://ojs.aaai.org/index.php/AAAI/article/view/26661/26433,"Jiahao Chen, Zitao Liu, Shuyan Huang, Qiongqiong Liu, Weiqing Luo",
Assessment,Knowledge Tracing,ICLR,2023,conference,0,simpleKT: A Simple But Tough-to-Beat Baseline for Knowledge Tracing,https://arxiv.org/abs/2302.06881,"Zitao Liu, Qiongqiong Liu, Jiahao Chen, Shuyan Huang, Weiqi Luo",
Assessment,Knowledge Tracing,IJCAI,2020,conference,0,Improving Knowledge Tracing via Pre-training Question Embeddings,https://arxiv.org/abs/2012.05031,"Yunfei Liu, Yang Yang, Xianyu Chen, Jian Shen, Haifeng Zhang, Yong Yu",
Assessment,Knowledge Tracing,KDD,2020,conference,0,Context-Aware Attentive Knowledge Tracing,https://dl.acm.org/doi/10.1145/3394486.3403282,"Aritra Ghosh, Neil Heffernan, Andrew S. Lan",
Assessment,Knowledge Tracing,KDD,2021,conference,0,Learning Process-consistent Knowledge Tracing,http://staff.ustc.edu.cn/~cheneh/paper_pdf/2021/Shuanghong-Shen-KDD.pdf,"Shuanghong Shen, Qi Liu, Enhong Chen, Zhenya Huang, Wei Huang, Yu Yin, Yu Su, Shijin Wang",
Assessment,Knowledge Tracing,KDD,2023,conference,0,Learning Behavior-oriented Knowledge Tracing,http://staff.ustc.edu.cn/~huangzhy/files/papers/BihanXu-KDD2023.pdf,"Bihan Xu, Zhenya Huang, Jia-Yin Liu, Shuanghong Shen, Qi Liu, Enhong Chen, Jinze Wu, Shijin Wang",
Assessment,Knowledge Tracing,KDD,2024,conference,0,Leveraging Pedagogical Theories to Understand Student Learning Process with Graph-based Reasonable Knowledge Tracing,https://arxiv.org/abs/2406.12896,"Jiajun Cui, Hong Qian, Bo Jiang, Wei Zhang",
Assessment,Knowledge Tracing,KDD,2024,conference,0,DyGKT: Dynamic Graph Learning for Knowledge Tracing,https://www.arxiv.org/abs/2407.20824,"Ke Cheng, Linzhi Peng, Pengyang Wang, Junchen Ye, Leilei Sun, Bowen Du",
Assessment,Knowledge Tracing,KDD,2024,conference,0,RIGL: A Unified Reciprocal Approach for Tracing the Independent and Group Learning Processes,https://arxiv.org/abs/2406.12465,"Xiaoshan Yu, Chuan Qin, Dazhong Shen, Shangshang Yang, Haiping Ma, Hengshu Zhu, Xingyi Zhang",
Assessment,Knowledge Tracing,MM,2021,conference,0,Enhancing Knowledge Tracing via Adversarial Training,https://dl.acm.org/doi/10.1145/3474085.3475554,"Xiaopeng Guo, Zhijie Huang, Jie Gao, Mingyu Shang, Maojing Shu, Jun Sun",
